,Actual Profit
2023,63.33
2024,85.904
2025,31.26
2026,15.9
2027,4.2804
2028,9.9652
2029,5.1072
2030,82.44
2031,0.48
2032,49.62
2033,0.5244
2034,102.6
2035,114.252
2036,3.87
2037,3.18
2038,3.48
2039,20.13
2040,10.3904
2041,13.72
2042,-13.18
2043,0.5668
2044,41.814
2045,6.0114
2046,-4.8654
2047,3.7224
2048,15.04
2049,-275.832
2050,5.4432
2051,25.83
2052,30.99
2053,13.68
2054,59.52
2055,51.84
2056,-29.178
2057,9.47
2058,3.8
2059,26.16
2060,13.05
2061,-0.597
2062,4.28
2063,-1128.44
2064,1.995
2065,269.82
2066,31.198
2067,5.4432
2068,57.5016
2069,-425.376
2070,8.184
2071,1.12
2072,1.14
2073,-2.7588
2074,15.9384
2075,4.11
2076,1.26
2077,12.3
2078,11.2839
2079,-1.284
2080,4.692
2081,54.16
2082,75.03
2083,6.93
2084,25.47
2085,-248.052
2086,-111.684
2087,11.16
2088,5.0856
2089,6.93
2090,846.54
2091,14.13
2092,17.565
2093,5.34
2094,35.7
2095,260.82
2096,23.56
2097,21.7728
2098,0.99
2099,10.92
2100,27.36
2101,0.27
2102,262.2
2103,32.4684
2104,-334.552
2105,-12.588
2106,-14.176
2107,22.9877
2108,-32.025
2109,359.64
2110,-4.212
2111,11.58
2112,-420.0
2113,65.28
2114,-95.424
2115,0.567
2116,12.7008
2117,-37.2591
2118,15.33
2119,28.62
2120,-83.022
2121,167.976
2122,204.66
2123,-64.036
2124,23.84
2125,315.74
2126,4.02
2127,-12.291
2128,-18.7515
2129,7.95
2130,-25.0844
2131,-6.416
2132,1252.98
2133,1.872
2134,-0.804
2135,10.26
2136,31.86
2137,12.78
2138,-80.52
2139,0.0
2140,-4.368
2141,3.3
2142,-55.008
2143,-4.032
2144,6.93
2145,10.632
2146,31.198
2147,115.92
2148,6.72
2149,1.05
2150,87.6
2151,2.37
2152,-8.864
2153,-27.6936
2154,-51.645
2155,6.93
2156,142.08
2157,6.2856
2158,252.0
2159,4.5
2160,-23.892
2161,24.6
2162,-3.46
2163,66.3
2164,28.62
2165,51.78
2166,-6.6
2167,1.74
2168,18.36
2169,-61.97
2170,176.386
2171,14.4
2172,-2.1624
2173,-198.096
2174,27.18
2175,-20.952
2176,-1.233
2177,-35.022
2178,19.02
2179,20.96
2180,16.554
2181,3.12
2182,80.46
2183,8.37
2184,341.49
2185,-11.4906
2186,-102.768
2187,2.8
2188,3.54
2189,50.396
2190,81.18
2191,0.0
2192,83.8858
2193,-41.985
2194,-0.528
2195,223.054
2196,11.8584
2197,2.355
2198,15.0416
2199,31.0059
2200,24.72
2201,13.68
2202,54.7136
2203,7.35
2204,35.16
2205,5.6784
2206,83.52
2207,-8.1
2208,0.0
2209,-1.096
2210,-23.268
2211,8.7138
2212,4.02
2213,37.88
2214,10.47
2215,-20.644
2216,29.55
2217,11.9988
2218,42.0714
2219,-30.393
2220,0.45
2221,1.14
2222,2.16
2223,-1.524
2224,62.16
2225,125.143
2226,-0.064
2227,-125.208
2228,15.6768
2229,-3.712
2230,3.24
2231,96.0
2232,60.48
2233,-155.628
2234,2.25
2235,16.605
2236,28.83
2237,2.55
2238,25.792
2239,1.8604
2240,4.56
2241,-15.804
2242,14.64
2243,583.38
2244,16.08
2245,32.46
2246,3.6
2247,17.424
2248,229.98
2249,682.92
2250,93.33
2251,-17.1
2252,214.164
2253,-29.4
2254,4.5
2255,43.956
2256,9.5448
2257,39.0
2258,23.96
2259,-142.248
2260,-4.356
2261,379.68
2262,8.79
2263,123.36
2264,3.36
2265,16.62
2266,59.998
2267,-261.28
2268,-189.456
2269,3.5623
2270,140.16
2271,34.32
2272,-6.03
2273,55.53
2274,-67.83
2275,6.4368
2276,-646.097
2277,-3.432
2278,-9.984
2279,364.68
2280,9.63
2281,5.31
2282,6.75
2283,-2.994
2284,7.8792
2285,33.56
2286,37.8
2287,588.735
2288,9.3
2289,4.29
2290,-6.75
2291,1.29
2292,-17.58
2293,39.84
2294,67.86
2295,-8.088
2296,5.01
2297,1.6116
2298,-8.22
2299,24.75
2300,-12.792
2301,-103.988
2302,3.564
2303,328.08
2304,0.9774
2305,14.94
2306,88.05
2307,-83.022
2308,1.3104
2309,565.38
2310,35.58
2311,8.82
2312,-17.991
2313,0.54
2314,-21.408
2315,5.55
2316,-19.9184
2317,37.3329
2318,6.24
2319,-720.372
2320,390.977
2321,9.24
2322,48.3
2323,8.4
2324,5.25
2325,24.48
2326,-8.232
2327,16.809
2328,31.98
2329,6.8724
2330,81.921
2331,135.84
2332,8.25
2333,3.96
2334,-5.89
2335,62.82
2336,24.84
2337,14.4897
2338,1.816
2339,35.985
2340,-28.8198
2341,48.33
2342,14.7801
2343,0.504
2344,-1.136
2345,182.355
2346,377.995
2347,57.84
2348,19.32
2349,22.2
2350,40.59
2351,39.12
2352,4.74
2353,70.006
2354,-4.272
2355,-801.528
2356,100.71
2357,-10.116
2358,-156.6
2359,13.38
2360,0.5355
2361,47.25
2362,12.838
2363,-29.976
2364,25.32
2365,4.47
2366,-190.056
2367,27.21
2368,5.31
2369,-6.5415
2370,36.693
2371,0.2
2372,-1.624
2373,15.03
2374,-4.206
2375,-217.584
2376,18.96
2377,71.88
2378,-39.48
2379,6.8992
2380,-11.336
2381,-8.856
2382,94.44
2383,0.0
2384,3.78
2385,-128.747
2386,2.704
2387,-1.488
2388,163.19
2389,-8.5152
2390,69.624
2391,-11.058
2392,-83.8611
2393,9.876
2394,48.66
2395,6.24
2396,5.8605
2397,113.235
2398,11.214
2399,-4.824
2400,1.86
2401,2.52
2402,3.6432
2403,203.7
2404,-20.6328
2405,4.92
2406,35.28
2407,320.4
2408,-22.8
2409,21.66
2410,184.08
2411,0.4768
2412,11.76
2413,16.74
2414,175.86
2415,-12.0588
2416,-2.792
2417,15.9446
2418,-80.5368
2419,33.24
2420,414.3
2421,-62.91
2422,48.12
2423,179.82
2424,99.336
2425,5.01
2426,44.73
2427,-21.7395
2428,-15.1311
2429,14.3424
2430,20.16
2431,3.501
2432,68.8
2433,9.96
2434,17.28
2435,-48.42
2436,27.63
2437,74.16
2438,102.057
2439,5.43
2440,8.49
2441,421.585
2442,-55.256
2443,10.3936
2444,118.8
2445,4.92
2446,340.7
2447,0.968
2448,173.46
2449,0.3102
2450,-82.536
2451,0.3102
2452,2.88
2453,9.72
2454,27.927
2455,46.2
2456,1.62
2457,23.4
2458,143.28
2459,26.52
2460,-8.676
2461,-29.07
2462,139.44
2463,353.22
2464,338.8
2465,5.04
2466,-34.08
2467,1.98
2468,7.0854
2469,10.96
2470,7.29
2471,18.9
2472,7.8492
2473,73.5448
2474,7.6968
2475,-1011.64
2476,17.3148
2477,-6.248
2478,-5.487
2479,-29.244
2480,75.12
2481,-238.68
2482,83.284
2483,66.36
